order_id,order_date,customer_id,payment_type,order_status,order_amount
ORD_60,2025-03-28,CUST_611,Credit Card,Canceled,25208
ORD_61,2024-12-30,CUST_1270,Debit Card,Returned,25152
ORD_62,2025-09-24,CUST_591,Credit Card,Delivered,51964
ORD_63,2025-07-29,CUST_911,Credit Card,Shipped,20065
ORD_64,2025-11-12,CUST_453,UPI,Shipped,52046
ORD_65,2024-07-18,CUST_842,Net Banking,Returned,1072
ORD_66,2025-10-13,CUST_140,COD,Returned,32784
ORD_67,2025-11-02,CUST_437,Net Banking,Returned,17729
ORD_68,2024-08-10,CUST_621,Debit Card,Processing,10039
ORD_69,2025-05-03,CUST_1183,COD,Returned,8372
ORD_70,2025-07-03,CUST_1742,Debit Card,Delivered,41004
ORD_71,2024-10-31,CUST_471,Net Banking,Shipped,30513
ORD_72,2024-12-13,CUST_1086,COD,Shipped,33238
ORD_73,2025-02-23,CUST_1766,COD,Processing,21976
ORD_74,2024-12-20,CUST_308,Net Banking,Returned,58211
ORD_75,2025-08-10,CUST_738,Credit Card,Processing,54046
ORD_76,2025-03-23,CUST_1100,COD,Returned,38503
ORD_77,2024-06-07,CUST_1139,Debit Card,Shipped,35215
ORD_78,2023-12-13,CUST_1342,Net Banking,Shipped,20603
ORD_79,2025-05-19,CUST_230,Debit Card,Processing,57283
ORD_80,2024-01-27,CUST_547,COD,Shipped,58957
ORD_81,2025-08-22,CUST_1661,UPI,Processing,46040
ORD_82,2024-08-11,CUST_649,Debit Card,Delivered,23196
ORD_83,2025-03-30,CUST_306,Credit Card,Returned,2977
ORD_84,2025-06-23,CUST_353,UPI,Processing,11419
ORD_85,2025-03-19,CUST_946,COD,Returned,51712
ORD_86,2024-03-17,CUST_329,UPI,Shipped,8797
ORD_87,2025-02-08,CUST_1444,Credit Card,Shipped,51747
ORD_88,2025-02-19,CUST_1155,Net Banking,Processing,7286
ORD_89,2025-09-04,CUST_1094,UPI,Delivered,39889
ORD_90,2024-02-23,CUST_475,COD,Shipped,46846
ORD_91,2024-08-29,CUST_1249,UPI,Processing,28098
ORD_92,2025-06-22,CUST_99,Net Banking,Returned,44729
ORD_93,2025-09-18,CUST_1392,COD,Delivered,14302
ORD_94,2024-10-14,CUST_286,UPI,Canceled,42765
ORD_95,2025-10-31,CUST_1132,UPI,Delivered,12699
ORD_96,2024-06-14,CUST_433,Debit Card,Delivered,38862
ORD_97,2025-08-22,CUST_1466,Net Banking,Processing,39571
ORD_98,2024-08-30,CUST_341,UPI,Processing,48155
ORD_99,2025-03-14,CUST_1874,COD,Canceled,44034
ORD_100,2025-04-12,CUST_604,UPI,Delivered,5450
ORD_101,2024-03-17,CUST_155,UPI,Delivered,51419
ORD_102,2025-03-25,CUST_699,UPI,Delivered,57573
ORD_103,2024-02-05,CUST_1608,COD,Returned,55438
ORD_104,2025-05-23,CUST_593,Net Banking,Canceled,30089
ORD_105,2025-02-04,CUST_569,Debit Card,Delivered,12907
ORD_106,2025-06-15,CUST_108,Debit Card,Returned,41730
ORD_107,2023-12-14,CUST_407,Net Banking,Canceled,50356
ORD_108,2024-06-11,CUST_870,COD,Delivered,14211
ORD_109,2024-04-27,CUST_1220,UPI,Canceled,44687
ORD_110,2024-04-13,CUST_163,COD,Processing,37129
ORD_111,2023-11-23,CUST_155,Debit Card,Canceled,46327
ORD_112,2024-05-02,CUST_1144,Net Banking,Shipped,11850
ORD_113,2025-05-09,CUST_134,Debit Card,Processing,34546
ORD_114,2024-01-20,CUST_767,Debit Card,Shipped,41543
ORD_115,2024-01-23,CUST_1289,Net Banking,Delivered,8979
ORD_116,2024-07-02,CUST_1453,UPI,Delivered,17478
ORD_117,2025-06-08,CUST_140,COD,Processing,54551
ORD_118,2024-08-30,CUST_586,Net Banking,Canceled,48188
ORD_119,2024-02-24,CUST_999,Credit Card,Processing,47035
ORD_120,2025-05-18,CUST_1616,Credit Card,Delivered,2013
ORD_121,2025-05-11,CUST_459,Debit Card,Shipped,20085
ORD_122,2025-04-25,CUST_83,UPI,Delivered,28575
ORD_123,2025-08-06,CUST_1213,UPI,Shipped,40208
ORD_124,2024-04-11,CUST_980,COD,Canceled,41738
ORD_125,2024-10-19,CUST_800,Credit Card,Shipped,44745
ORD_126,2025-06-27,CUST_1271,Net Banking,Delivered,7547
ORD_127,2024-04-23,CUST_704,Net Banking,Canceled,55990
ORD_128,2025-09-16,CUST_465,Debit Card,Delivered,23573
ORD_129,2024-09-26,CUST_698,Credit Card,Processing,33634
ORD_130,2025-10-16,CUST_294,COD,Processing,10045
ORD_131,2025-05-01,CUST_1719,Debit Card,Canceled,54620
ORD_132,2024-05-13,CUST_852,UPI,Canceled,24106
ORD_133,2023-12-21,CUST_1751,UPI,Delivered,12936
ORD_134,2025-05-29,CUST_1935,Debit Card,Shipped,16335
ORD_135,2024-08-15,CUST_368,Credit Card,Returned,41411
ORD_136,2024-05-12,CUST_572,COD,Delivered,59480
ORD_137,2024-06-06,CUST_1450,Net Banking,Delivered,2641
ORD_138,2024-08-18,CUST_1750,Debit Card,Returned,51716
ORD_139,2024-10-15,CUST_1607,Debit Card,Delivered,39003
ORD_140,2025-05-20,CUST_825,COD,Shipped,27399
ORD_141,2025-05-28,CUST_1243,UPI,Canceled,39999
ORD_142,2025-08-20,CUST_594,Debit Card,Shipped,16771
ORD_143,2024-06-12,CUST_1424,COD,Delivered,41430
ORD_144,2024-10-11,CUST_407,Debit Card,Returned,18479
ORD_145,2025-04-11,CUST_795,Credit Card,Delivered,25520
ORD_146,2025-03-01,CUST_1702,Net Banking,Shipped,30728
ORD_147,2025-06-06,CUST_1474,UPI,Shipped,27894
ORD_148,2025-03-28,CUST_1019,UPI,Shipped,57478
ORD_149,2025-07-03,CUST_1378,Debit Card,Delivered,27021
ORD_150,2024-11-01,CUST_504,UPI,Returned,55450
ORD_151,2024-08-20,CUST_679,COD,Canceled,44981
ORD_152,2024-05-22,CUST_1410,COD,Returned,18028
ORD_153,2025-08-11,CUST_667,COD,Returned,7134
ORD_154,2023-11-25,CUST_1506,COD,Processing,25495
ORD_155,2024-08-04,CUST_883,UPI,Returned,36944
ORD_156,2025-04-17,CUST_1410,COD,Delivered,11724
ORD_157,2025-05-25,CUST_1313,Net Banking,Returned,55181
ORD_158,2025-06-25,CUST_294,COD,Shipped,38506
ORD_159,2025-10-17,CUST_682,Debit Card,Processing,8014
ORD_160,2024-06-11,CUST_1258,COD,Canceled,55080
ORD_161,2024-04-19,CUST_481,Net Banking,Returned,20324
ORD_162,2024-07-06,CUST_1533,Debit Card,Processing,35527
ORD_163,2025-08-28,CUST_1446,UPI,Delivered,10304
ORD_164,2025-10-30,CUST_613,Debit Card,Canceled,13799
ORD_165,2025-07-25,CUST_1309,Net Banking,Delivered,16761
ORD_166,2024-03-26,CUST_1319,UPI,Returned,27098
ORD_167,2025-05-19,CUST_918,Credit Card,Processing,2100
ORD_168,2024-07-05,CUST_1797,UPI,Shipped,53647
ORD_169,2024-01-01,CUST_1261,COD,Returned,18433
ORD_170,2025-07-25,CUST_541,UPI,Shipped,44893
ORD_171,2025-02-10,CUST_731,COD,Canceled,34323
ORD_172,2025-04-14,CUST_1865,Credit Card,Delivered,43610
ORD_173,2025-03-12,CUST_1077,COD,Canceled,41895
ORD_174,2024-08-06,CUST_466,Credit Card,Processing,49760
ORD_175,2025-10-26,CUST_707,Net Banking,Shipped,36281
ORD_176,2025-08-31,CUST_197,Net Banking,Processing,5482
ORD_177,2024-09-22,CUST_1324,Net Banking,Canceled,4506
ORD_178,2025-05-02,CUST_278,Credit Card,Delivered,31601
ORD_179,2025-04-01,CUST_1671,COD,Canceled,8621
ORD_180,2025-05-09,CUST_429,Credit Card,Processing,16665
ORD_181,2024-07-22,CUST_1269,Credit Card,Returned,13684
ORD_182,2024-01-21,CUST_44,Net Banking,Processing,57920
ORD_183,2024-10-16,CUST_1193,Net Banking,Canceled,11373
ORD_184,2024-08-20,CUST_591,UPI,Shipped,51198
ORD_185,2025-11-04,CUST_957,Debit Card,Canceled,34753
ORD_186,2023-12-10,CUST_1836,UPI,Returned,6418
ORD_187,2024-07-25,CUST_211,UPI,Shipped,30590
ORD_188,2025-01-26,CUST_901,Net Banking,Canceled,59620
ORD_189,2024-03-12,CUST_23,Credit Card,Shipped,43560
ORD_190,2024-11-15,CUST_1054,UPI,Shipped,34075
ORD_191,2024-03-19,CUST_811,COD,Shipped,32720
ORD_192,2024-03-22,CUST_1436,COD,Returned,32618
ORD_193,2024-02-12,CUST_942,Net Banking,Returned,17351
ORD_194,2025-05-27,CUST_263,COD,Canceled,30983
ORD_195,2025-10-21,CUST_832,COD,Processing,34120
ORD_196,2025-10-03,CUST_1630,Net Banking,Canceled,1287
ORD_197,2025-08-29,CUST_1623,UPI,Canceled,2025
ORD_198,2024-12-09,CUST_1538,Debit Card,Processing,1085
ORD_199,2025-02-28,CUST_1947,Net Banking,Returned,12584
ORD_200,2025-03-14,CUST_386,COD,Shipped,27778
ORD_201,2025-04-09,CUST_509,COD,Returned,44625
ORD_202,2025-08-29,CUST_932,Debit Card,Delivered,28664
ORD_203,2024-11-25,CUST_463,COD,Processing,52861
ORD_204,2025-10-19,CUST_1000,Credit Card,Processing,28677
ORD_205,2024-05-25,CUST_1284,Credit Card,Delivered,10750
ORD_206,2025-05-20,CUST_1379,UPI,Shipped,58209
ORD_207,2025-10-28,CUST_1969,Credit Card,Processing,51705
ORD_208,2024-04-02,CUST_701,COD,Returned,1971
ORD_209,2024-10-20,CUST_463,UPI,Processing,14899
ORD_210,2025-03-15,CUST_813,UPI,Canceled,7176
ORD_211,2025-09-02,CUST_642,UPI,Shipped,34336
ORD_212,2024-01-02,CUST_1429,Debit Card,Canceled,3165
ORD_213,2025-06-04,CUST_16,Net Banking,Processing,874
ORD_214,2025-04-16,CUST_1568,Net Banking,Delivered,6367
ORD_215,2024-06-30,CUST_398,COD,Processing,3537
ORD_216,2025-03-17,CUST_42,COD,Processing,8014
ORD_217,2024-08-04,CUST_1251,UPI,Delivered,31228
ORD_218,2025-01-08,CUST_1267,Net Banking,Delivered,18974
ORD_219,2024-08-07,CUST_47,COD,Shipped,58660
ORD_220,2025-09-14,CUST_1353,UPI,Processing,9160
ORD_221,2024-08-04,CUST_36,Debit Card,Returned,28317
ORD_222,2025-01-16,CUST_1361,Net Banking,Canceled,1700
ORD_223,2025-02-14,CUST_668,COD,Delivered,22824
ORD_224,2024-04-17,CUST_1170,COD,Shipped,50231
ORD_225,2024-11-04,CUST_1584,COD,Returned,38364
ORD_226,2025-07-29,CUST_579,COD,Canceled,20700
ORD_227,2023-11-25,CUST_1776,Credit Card,Shipped,12863
ORD_228,2025-03-05,CUST_1490,Net Banking,Canceled,10782
ORD_229,2025-02-04,CUST_1819,Debit Card,Shipped,27382
ORD_230,2024-05-08,CUST_592,Net Banking,Processing,39211
ORD_231,2025-09-03,CUST_1017,Credit Card,Shipped,53498
ORD_232,2025-09-20,CUST_1369,Debit Card,Delivered,11789
ORD_233,2024-04-06,CUST_1361,Debit Card,Shipped,6252
ORD_234,2025-04-12,CUST_1255,Credit Card,Canceled,31097
ORD_235,2024-07-24,CUST_253,Credit Card,Canceled,28002
ORD_236,2025-10-23,CUST_1966,COD,Delivered,11985
ORD_237,2025-09-19,CUST_1125,COD,Processing,222
ORD_238,2025-10-31,CUST_956,COD,Processing,57423
ORD_239,2023-11-30,CUST_734,COD,Processing,34197
ORD_240,2024-07-25,CUST_774,COD,Processing,33993
ORD_241,2024-09-25,CUST_447,COD,Canceled,24180
ORD_242,2024-11-06,CUST_1247,Debit Card,Canceled,19210
ORD_243,2025-04-05,CUST_1103,Debit Card,Shipped,15186
ORD_244,2024-08-10,CUST_1813,Debit Card,Processing,7289
ORD_245,2024-09-30,CUST_1977,Credit Card,Canceled,58854
ORD_246,2025-05-12,CUST_1865,Credit Card,Canceled,20566
ORD_247,2025-04-19,CUST_109,COD,Delivered,56916
ORD_248,2025-02-25,CUST_1687,Credit Card,Processing,1909
ORD_249,2024-06-12,CUST_1568,Debit Card,Returned,30832
ORD_250,2024-07-18,CUST_273,Debit Card,Processing,1629
ORD_251,2025-11-14,CUST_1919,UPI,Delivered,38472
ORD_252,2024-09-03,CUST_1134,UPI,Processing,26268
ORD_253,2025-07-16,CUST_1259,COD,Delivered,19968
ORD_254,2024-02-25,CUST_1650,UPI,Canceled,2035
ORD_255,2024-04-07,CUST_353,Net Banking,Processing,38125
ORD_256,2025-03-06,CUST_1111,UPI,Delivered,55216
ORD_257,2025-02-26,CUST_1298,COD,Canceled,57651
ORD_258,2025-04-23,CUST_962,COD,Canceled,7691
ORD_259,2025-06-28,CUST_652,Credit Card,Canceled,24755
ORD_260,2025-07-21,CUST_1597,UPI,Canceled,34731
ORD_261,2025-06-03,CUST_224,Debit Card,Shipped,15627
ORD_262,2025-06-12,CUST_1878,Net Banking,Shipped,59759
ORD_263,2024-05-28,CUST_998,Net Banking,Processing,24840
ORD_264,2024-08-18,CUST_943,Credit Card,Canceled,44887
ORD_265,2023-12-22,CUST_1174,Net Banking,Shipped,16861
ORD_266,2025-03-23,CUST_1531,COD,Delivered,52385
ORD_267,2024-07-14,CUST_1292,Credit Card,Processing,37700
ORD_268,2024-05-16,CUST_765,Debit Card,Processing,19453
ORD_269,2024-04-02,CUST_997,UPI,Shipped,56300
ORD_270,2024-11-21,CUST_1580,UPI,Canceled,28445
ORD_271,2024-03-22,CUST_1936,UPI,Delivered,25570
ORD_272,2024-07-02,CUST_1007,Credit Card,Canceled,46138
ORD_273,2025-07-19,CUST_1257,UPI,Processing,2090
ORD_274,2025-06-20,CUST_1146,COD,Delivered,14636
ORD_275,2024-04-30,CUST_1672,Debit Card,Returned,32008
ORD_276,2025-04-19,CUST_1777,UPI,Canceled,56421
ORD_277,2024-12-10,CUST_629,Credit Card,Processing,59206
ORD_278,2024-05-06,CUST_575,Debit Card,Shipped,14780
ORD_279,2025-05-26,CUST_1502,Debit Card,Processing,55886
ORD_280,2025-01-19,CUST_1814,Credit Card,Processing,14562
ORD_281,2025-03-24,CUST_325,COD,Shipped,19521
ORD_282,2025-03-30,CUST_211,UPI,Shipped,12013
ORD_283,2024-07-12,CUST_1038,COD,Canceled,20678
ORD_284,2023-12-23,CUST_874,Debit Card,Returned,40450
ORD_285,2023-12-06,CUST_361,Net Banking,Delivered,20603
ORD_286,2024-01-13,CUST_1953,COD,Canceled,963
ORD_287,2025-04-02,CUST_1551,COD,Processing,3179
ORD_288,2025-05-03,CUST_1101,UPI,Canceled,17493
ORD_289,2023-12-18,CUST_1554,UPI,Shipped,38315
ORD_290,2023-12-15,CUST_1177,Debit Card,Canceled,22690
ORD_291,2025-03-23,CUST_557,Debit Card,Delivered,22863
ORD_292,2024-02-29,CUST_968,Net Banking,Canceled,15140
ORD_293,2025-02-12,CUST_558,Debit Card,Returned,18602
ORD_294,2025-03-19,CUST_1240,Net Banking,Returned,43134
ORD_295,2025-10-29,CUST_1554,COD,Shipped,1284
ORD_296,2024-04-17,CUST_1782,COD,Delivered,34414
ORD_297,2025-01-12,CUST_784,Credit Card,Processing,51604
ORD_298,2025-09-29,CUST_1463,UPI,Shipped,29180
ORD_299,2024-08-05,CUST_1984,COD,Delivered,54077
ORD_300,2025-07-12,CUST_851,UPI,Shipped,20412
ORD_301,2025-10-12,CUST_604,COD,Canceled,47479
ORD_302,2024-10-21,CUST_1458,UPI,Returned,57867
ORD_303,2025-09-08,CUST_1582,Credit Card,Canceled,17018
ORD_304,2025-09-25,CUST_604,Net Banking,Canceled,23752
ORD_305,2025-03-24,CUST_1847,COD,Shipped,12295
ORD_306,2024-10-16,CUST_1102,UPI,Shipped,35639
ORD_307,2025-05-17,CUST_384,Debit Card,Returned,49285
ORD_308,2025-07-10,CUST_1940,Credit Card,Processing,56654
ORD_309,2025-05-14,CUST_1176,UPI,Shipped,16330
ORD_310,2024-03-09,CUST_536,COD,Processing,9187
ORD_311,2025-05-24,CUST_977,UPI,Canceled,52728
ORD_312,2023-12-30,CUST_1290,Debit Card,Returned,11431
ORD_313,2024-04-29,CUST_1260,Credit Card,Delivered,59385
ORD_314,2024-08-15,CUST_1718,Debit Card,Returned,9409
ORD_315,2024-09-06,CUST_1125,Net Banking,Canceled,46936
ORD_316,2025-05-23,CUST_970,COD,Canceled,27778
ORD_317,2024-11-01,CUST_127,COD,Returned,15473
ORD_318,2024-01-11,CUST_1709,Net Banking,Shipped,12712
ORD_319,2024-01-03,CUST_702,Net Banking,Returned,35117
ORD_320,2024-02-21,CUST_252,UPI,Processing,52882
ORD_321,2025-09-01,CUST_335,Debit Card,Canceled,11636
ORD_322,2025-06-10,CUST_645,Debit Card,Processing,8134
ORD_323,2024-02-12,CUST_796,COD,Shipped,3159
ORD_324,2024-12-14,CUST_822,COD,Delivered,43294
ORD_325,2024-11-04,CUST_279,Credit Card,Shipped,32494
ORD_326,2025-08-19,CUST_1854,UPI,Delivered,56041
ORD_327,2025-02-24,CUST_711,UPI,Returned,21462
ORD_328,2024-03-13,CUST_1950,Net Banking,Delivered,43627
ORD_329,2024-07-01,CUST_941,Credit Card,Canceled,58776
ORD_330,2023-12-21,CUST_1288,UPI,Canceled,33651
ORD_331,2025-06-03,CUST_1027,Net Banking,Canceled,23819
ORD_332,2024-01-27,CUST_1857,Net Banking,Shipped,49089
ORD_333,2023-12-22,CUST_320,Credit Card,Delivered,3415
ORD_334,2024-08-12,CUST_1182,Credit Card,Returned,23804
ORD_335,2024-06-17,CUST_1071,COD,Returned,54186
ORD_336,2024-07-18,CUST_43,Net Banking,Returned,23878
ORD_337,2024-06-05,CUST_1036,UPI,Canceled,4343
ORD_338,2024-09-20,CUST_222,COD,Shipped,55533
ORD_339,2025-01-13,CUST_1684,UPI,Shipped,47532
ORD_340,2024-05-29,CUST_1596,Net Banking,Shipped,13140
ORD_341,2024-02-19,CUST_85,UPI,Processing,13574
ORD_342,2025-03-28,CUST_926,Net Banking,Canceled,27120
ORD_343,2024-04-08,CUST_1625,Debit Card,Delivered,39851
ORD_344,2024-07-26,CUST_1722,UPI,Processing,8959
ORD_345,2025-10-24,CUST_564,Net Banking,Processing,26965
ORD_346,2024-11-08,CUST_1887,UPI,Returned,9181
ORD_347,2025-10-06,CUST_1496,UPI,Canceled,52664
ORD_348,2024-02-15,CUST_1320,Credit Card,Processing,8770
ORD_349,2025-02-24,CUST_848,COD,Shipped,51691
ORD_350,2024-11-07,CUST_1856,COD,Delivered,51572
ORD_351,2025-04-21,CUST_899,Debit Card,Canceled,17979
ORD_352,2024-09-03,CUST_597,COD,Canceled,48852
ORD_353,2025-03-06,CUST_1114,COD,Canceled,27874
ORD_354,2024-08-30,CUST_9,Debit Card,Delivered,21754
ORD_355,2025-04-22,CUST_665,UPI,Canceled,22636
ORD_356,2024-11-28,CUST_1499,Debit Card,Canceled,43604
ORD_357,2024-01-12,CUST_1492,UPI,Processing,17382
ORD_358,2023-12-16,CUST_1070,UPI,Returned,38919
ORD_359,2023-12-10,CUST_1212,Net Banking,Shipped,54663
ORD_360,2025-04-20,CUST_672,COD,Returned,10997
ORD_361,2024-06-17,CUST_275,Net Banking,Processing,8186
ORD_362,2024-12-24,CUST_1097,COD,Canceled,47675
ORD_363,2024-11-21,CUST_265,Net Banking,Returned,29365
ORD_364,2025-02-06,CUST_1636,Credit Card,Shipped,53861
ORD_365,2025-10-26,CUST_914,Credit Card,Shipped,25568
ORD_366,2024-01-01,CUST_618,Debit Card,Delivered,3788
ORD_367,2025-07-06,CUST_613,UPI,Processing,34574
ORD_368,2025-06-01,CUST_1536,Net Banking,Processing,4000
ORD_369,2024-06-30,CUST_663,Credit Card,Shipped,51071
ORD_370,2024-09-13,CUST_1465,COD,Delivered,55074
ORD_371,2025-04-24,CUST_626,Debit Card,Shipped,27670
ORD_372,2024-10-04,CUST_1004,Credit Card,Returned,32926
ORD_373,2025-09-10,CUST_1543,Credit Card,Processing,38512
ORD_374,2024-10-27,CUST_393,Net Banking,Processing,44441
ORD_375,2024-09-23,CUST_1061,COD,Processing,34167
ORD_376,2025-07-31,CUST_1119,Net Banking,Shipped,54682
ORD_377,2024-11-09,CUST_1438,Credit Card,Canceled,39507
ORD_378,2024-08-05,CUST_1452,COD,Processing,36731
ORD_379,2025-08-14,CUST_409,Net Banking,Processing,37515
ORD_380,2024-01-19,CUST_1385,COD,Shipped,36179
ORD_381,2025-09-16,CUST_1535,Debit Card,Shipped,47586
ORD_382,2025-07-04,CUST_302,COD,Processing,16137
ORD_383,2024-12-23,CUST_4,UPI,Canceled,4145
ORD_384,2025-08-22,CUST_307,UPI,Shipped,30257
ORD_385,2025-09-02,CUST_135,Credit Card,Returned,38445
ORD_386,2024-05-25,CUST_1830,Credit Card,Processing,9891
ORD_387,2024-04-03,CUST_350,COD,Processing,2576
ORD_388,2025-09-24,CUST_1733,Credit Card,Shipped,56402
ORD_389,2025-09-13,CUST_1433,UPI,Processing,8684
ORD_390,2025-10-23,CUST_1370,Debit Card,Delivered,42473
ORD_391,2024-02-20,CUST_114,UPI,Canceled,16443
ORD_392,2024-11-06,CUST_1655,Debit Card,Returned,34934
ORD_393,2025-05-20,CUST_1172,Net Banking,Processing,48627
ORD_394,2025-06-27,CUST_1633,Debit Card,Processing,26922
ORD_395,2025-06-01,CUST_1392,UPI,Shipped,4416
ORD_396,2025-04-28,CUST_1399,Net Banking,Processing,26684
ORD_397,2024-11-25,CUST_1114,Debit Card,Returned,2992
ORD_398,2024-01-28,CUST_227,Debit Card,Returned,58418
ORD_399,2025-08-18,CUST_661,Net Banking,Shipped,1857
ORD_400,2025-07-26,CUST_734,Net Banking,Canceled,49298
ORD_401,2024-12-13,CUST_203,Credit Card,Canceled,59533
ORD_402,2024-02-17,CUST_32,Net Banking,Delivered,2058
ORD_403,2024-08-19,CUST_385,Net Banking,Shipped,13085
ORD_404,2024-10-21,CUST_498,Debit Card,Shipped,33511
ORD_405,2024-09-09,CUST_208,UPI,Processing,10910
ORD_406,2024-03-19,CUST_1141,Debit Card,Processing,57502
ORD_407,2024-07-24,CUST_56,Debit Card,Shipped,47614
ORD_408,2025-05-07,CUST_187,Debit Card,Processing,33368
ORD_409,2024-05-16,CUST_1057,COD,Shipped,36132
ORD_410,2024-04-06,CUST_267,UPI,Processing,20386
ORD_411,2025-06-26,CUST_1758,Net Banking,Processing,57740
ORD_412,2024-06-10,CUST_739,COD,Delivered,58953
ORD_413,2023-12-23,CUST_902,UPI,Returned,11507
ORD_414,2023-12-02,CUST_1313,COD,Processing,34896
ORD_415,2024-11-19,CUST_1424,COD,Delivered,59652
ORD_416,2025-02-22,CUST_1148,Credit Card,Shipped,52845
ORD_417,2025-04-01,CUST_1786,UPI,Canceled,48288
ORD_418,2024-09-19,CUST_1376,COD,Delivered,44388
ORD_419,2025-08-20,CUST_142,COD,Shipped,38887
ORD_420,2025-07-05,CUST_307,Net Banking,Returned,9471
ORD_421,2023-11-21,CUST_1297,Debit Card,Canceled,52441
ORD_422,2025-10-03,CUST_100,UPI,Returned,20902
ORD_423,2024-03-04,CUST_746,Net Banking,Delivered,2937
ORD_424,2024-02-21,CUST_1011,Debit Card,Processing,30597
ORD_425,2025-06-01,CUST_465,Credit Card,Returned,52399
ORD_426,2024-07-11,CUST_1495,COD,Shipped,4658
ORD_427,2025-07-24,CUST_1629,UPI,Shipped,24977
ORD_428,2025-04-10,CUST_236,Credit Card,Shipped,7443
ORD_429,2025-08-25,CUST_1230,COD,Delivered,51723
ORD_430,2023-11-28,CUST_561,Credit Card,Processing,26620
ORD_431,2025-06-19,CUST_204,Credit Card,Delivered,12129
ORD_432,2025-08-11,CUST_1893,UPI,Processing,54708
ORD_433,2024-10-16,CUST_519,Credit Card,Processing,51087
ORD_434,2024-12-03,CUST_1707,Net Banking,Returned,26995
ORD_435,2024-03-22,CUST_811,Debit Card,Canceled,21381
ORD_436,2025-01-03,CUST_1329,Credit Card,Delivered,54671
